repo_url,dep_url,user_weight,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/wevm/viem,0.127,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/openchainxyz/abi-guesser,0.106,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/facebook/react,0.096,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/microsoft/typescript,0.083,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/cdump/evmole,0.07521,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/shazow/whatsabi,0.062,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/vercel/next.js,0.056,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/wevm/wagmi,0.046,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/ethers-io/ethers.js,0.041,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/chakra-ui/chakra-ui,0.036,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/axios/axios,0.027,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/rainbow-me/rainbowkit,0.024,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/walletconnect/walletconnect-monorepo,0.02,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/walletconnect/walletconnect-utils,0.018,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/tanstack/query,0.016,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/suren-atoyan/monaco-react,0.0145,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/microsoft/monaco-editor,0.013,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/47ng/next-usequerystate,0.012,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/monosux/ethereum-block-by-date,0.011,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/colinhacks/zod,0.01,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/juliencrn/usehooks-ts,0.009,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/emotion-js/emotion,0.0085,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/lodash/lodash,0.008,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/automattic/mongoose,0.007,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/coinbase/x402,0.006,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/ithacaxyz/porto,0.005,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/pldespaigne/content-hash,0.0045,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/ensdomains/content-hash,0.004,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/date-fns/date-fns,0.0037,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/bvaughn/react-error-boundary,0.0035,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/impersonator-eth/iframe,0.0033,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/motiondivision/motion,0.0031,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/highlightjs/highlight.js,0.0029,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/highlightjs/highlightjs-solidity,0.0027,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/satya164/react-simple-code-editor,0.0025,
https://github.com/swiss-knife-xyz/swiss-knife,https://github.com/peterolson/biginteger.js,0.0023,
